
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

       64  -0.651330841113E-014    11.5470053838        0.837382644631E-015
       65  -0.183297666981E-014    13.3760456468         4.86684369815     
       66    10.0000000000         10.0000000000       -0.245886858395E-014
       67    5.60400070287         15.2450495705         4.39599929713     
       68    5.24930286627         12.1824010137       -0.147762884970E-015
       69    3.53321943661         13.9911919431         2.87160853392     
       70  -0.532907051820E-014   -14.1421356237         10.0000000000     
       71    3.55393218814        -17.6960678119         15.0260191002     
       72  -0.488389892620E-014   -9.06205326230         17.2650576804     
       73    2.59688071623        -12.0650358336         20.8724936719     
       74    11.5470053838       -0.201966445309E-014  -0.799360577730E-014
       75    13.3760456468       -0.241943782285E-014    4.86684369815     
       76    12.1824010137         5.24930286627       -0.545009950236E-014
       77    15.2450495705         5.60400070287         4.39599929713     
       78    13.9911919431         3.53321943661         2.87160853392     
       79   -3.55393218814        -17.6960678119         15.0260191002     
       80   -5.00000000000        -5.00000000000         21.2132034356     

   NODE        X                   Y                   Z
       81   -2.59688069849        -12.0650359136         20.8724936278     
       82  -0.266453525910E-014   -14.1421356237        -10.0000000000     
       83   0.148630035194E-013   -11.5470053838       -0.767432031039E-014
       84   0.200280359465E-014   -13.3760456468        -4.86684369815     
       85   -5.24930286627        -12.1824010137       -0.456182417265E-014
       86   -5.60400070460        -15.2450495696        -4.39599929540     
       87   -3.53321943720        -13.9911919428        -2.87160853329     
       88   0.205813524579E-014   -13.3760456468         4.86684369815     
       89   -5.60400070460        -15.2450495696         4.39599929540     
       90   -3.53321943720        -13.9911919428         2.87160853329     
       91   -21.2500000000         8.92995937326         28.2842712475     
       92   -15.4175928975         7.76421456546         28.2842712475     
       93   -21.2500000000         7.10786437627         20.0520382004     
       94   -21.2500000000         7.63512270235         24.2504531742     
       95   -15.1010498807         5.25860282163         24.5515573450     
       96   -17.3598370658         6.48650623682         25.9046250667     
       97    14.1421356237       -0.177635683940E-014   -10.0000000000     
       98    13.3760456468       -0.383058122664E-014   -4.86684369815     
       99    15.2450495705         5.60400070287        -4.39599929713     
      100    13.9911919431         3.53321943661        -2.87160853392     

   NODE        X                   Y                   Z
      101   -10.0000000000         10.0000000000        0.367193422376E-014
      102   -5.24930286627         12.1824010137        0.148604239188E-014
      103   0.621724893790E-014    14.1421356237        -10.0000000000     
      104  -0.608400193761E-015    13.3760456468        -4.86684369815     
      105   -5.60400070460         15.2450495696        -4.39599929540     
      106   -3.53321943720         13.9911919428        -2.87160853329     
